anatomy,assd_px,center,detected_lesions_any_overlap,dice,fn_pixels,fp_pixels,group,group_id,group_source,gt_area_pixels,gt_area_ratio,gt_lesions,gt_positive,hd95_px,image_name,iou,lesion_tp_one_to_one_iou10,lesion_tp_one_to_one_iou25,lesion_tp_one_to_one_iou50,matched_predicted_lesions_any_overlap,pixel_specificity,precision,pred_area_pixels,pred_area_ratio,predicted_lesions,predicted_positive,recall,skipped_low_confidence,status,tn_pixels,tp_pixels,tumor_type,tumor_type_name,view
humerus,9.15925268817929,1,1,0.6461877126275766,262,3274,tumor,btxrd-heuristic-000029,consecutive_image_id_plus_stable_metadata_excluding_view,3491,0.034091796875,1,True,23.38694215488563,IMG000056.jpeg,0.47730968218773095,1,1,0,1,0.9668988666349877,0.49654005843456867,6503,0.063505859375,1,True,0.9249498710971068,False,ok,95635,3229,8,osteosarcoma,frontal
hip bone,29.84576110283146,1,1,0.3668947145365381,3340,7117,tumor,btxrd-heuristic-000037,consecutive_image_id_plus_stable_metadata_excluding_view,6370,0.06220703125,1,True,70.79018093083897,IMG000071.jpeg,0.22466078445910878,1,0,0,1,0.9258877434135167,0.29861042672711147,10147,0.099091796875,1,True,0.47566718995290425,False,ok,88913,3030,8,osteosarcoma,frontal
femur,7.909820432080412,1,1,0.7358004329450573,500,2063,tumor,btxrd-heuristic-000039,consecutive_image_id_plus_stable_metadata_excluding_view,4069,0.039736328125,1,True,24.197100642162592,IMG000076.jpeg,0.5820287018917156,1,1,1,1,0.979019841148773,0.6337002840909091,5632,0.055,1,True,0.8771196854263947,False,ok,96268,3569,8,osteosarcoma,frontal
femur,23.535614311391832,1,1,0.37115489447862315,0,8075,tumor,btxrd-heuristic-000063,consecutive_image_id_plus_stable_metadata_excluding_view,2383,0.023271484375,1,True,55.587448510774415,IMG000125.jpeg,0.22786383629757123,1,0,0,1,0.9192637251667216,0.22786383629757123,10458,0.10212890625,1,True,1.0,False,ok,91942,2383,8,osteosarcoma,lateral
femur,22.987836175963402,1,1,0.5141737586481356,0,7935,tumor,btxrd-heuristic-000063,consecutive_image_id_plus_stable_metadata_excluding_view,4199,0.041005859375,1,True,39.68373828851031,IMG000126.jpeg,0.3460524147024889,1,1,0,1,0.919196342196108,0.3460524147024889,12134,0.11849609375,1,True,1.0,False,ok,90266,4199,8,osteosarcoma,frontal
femur,172.0242387541865,1,0,0.0,2374,95,tumor,btxrd-heuristic-000069,consecutive_image_id_plus_stable_metadata_excluding_view,2374,0.02318359375,1,True,206.13022288420632,IMG000137.jpeg,0.0,0,0,0,0,0.9990502469357967,0.0,95,0.000927734375,1,True,0.0,False,ok,99931,0,8,osteosarcoma,lateral
femur,19.06144778714446,1,1,0.5530103892852672,139,3432,tumor,btxrd-heuristic-000069,consecutive_image_id_plus_stable_metadata_excluding_view,2348,0.0229296875,1,True,48.19437903503481,IMG000138.jpeg,0.3821799307958478,1,1,0,1,0.9656978371246951,0.39159723453288425,5641,0.055087890625,1,True,0.9408006814310051,False,ok,96620,2209,8,osteosarcoma,frontal
hip bone,51.96162904328497,1,0,0.0,1525,5055,tumor,btxrd-heuristic-000073,consecutive_image_id_plus_stable_metadata_excluding_view,1525,0.014892578125,1,True,116.1527007583477,IMG000144.jpeg,0.0,0,0,0,0,0.9498884758364312,0.0,5055,0.049365234375,2,True,0.0,False,ok,95820,0,8,osteosarcoma,frontal
hip bone,88.08695391361441,1,0,0.0,7992,4826,tumor,btxrd-heuristic-000078,consecutive_image_id_plus_stable_metadata_excluding_view,7992,0.078046875,1,True,151.6139828655545,IMG000152.jpeg,0.0,0,0,0,0,0.9488814507245149,0.0,4826,0.04712890625,1,True,0.0,False,ok,89582,0,8,osteosarcoma,frontal
femur,124.938846578655,1,0,0.0,4404,110,tumor,btxrd-heuristic-000082,consecutive_image_id_plus_stable_metadata_excluding_view,4404,0.0430078125,1,True,160.09372090510817,IMG000160.jpeg,0.0,0,0,0,0,0.9988775052042941,0.0,110,0.00107421875,1,True,0.0,False,ok,97886,0,8,osteosarcoma,oblique
