image_name,tumor_type,foreground_iou,foreground_recall,foreground_precision,point_hit_rate,num_points,num_hits,negative_rejection_rate,num_negative_points,num_false_negative_points,box_recall,box_precision,oracle_best_single_dice,oracle_best_single_dice_clipped,selected_dice,oracle_gap_dice,support_loss_dice,selection_loss_dice,final_dice,final_iou,postprocess_delta_dice
IMG000001.jpeg,other mt,0.11448395490026018,0.5057471264367817,0.12890625,0.2,30,6,1.0,24,0,0.6715197956577267,0.10882973879206854,0.6943227188923632,0.531909483914072,0.1593920099456309,0.5349307089467323,0.1624132349782912,0.3725174739684411,0.15940838135174523,0.08660714295908402,1.637140611432386e-05
IMG000010.jpeg,osteosarcoma,0.1433976541808551,0.8203463203463204,0.148046875,0.5625,16,9,0.9333333333333333,15,1,0.9152236652236653,0.10697870546067889,0.7225548902621596,0.7165841584596869,0.6446693470616014,0.07788554320055818,0.005970731802472651,0.07191481139808553,0.6462821404244222,0.47741273111346755,0.0016127933628208302
IMG000017.jpeg,osteosarcoma,0.30609589486695726,0.9976675148430874,0.3063151041666667,0.75,20,15,1.0,15,0,1.0,0.17980783895073968,0.5925828164718777,0.5925828164718777,0.4949543489054058,0.09762846756647192,0.0,0.09762846756647192,0.49798750870936936,0.33154684907304127,0.00303315980396357
IMG000018.jpeg,osteosarcoma,0.4083333333333333,1.0,0.4083333333333333,1.0,15,15,0.9166666666666666,12,1,1.0,0.28354430379746837,0.7596414073274999,0.7596414073274999,0.7603752852877715,-0.0007338779602716894,0.0,-0.0007338779602716894,0.7554310930282221,0.6069821356052117,-0.004944192259549451
IMG000033.jpeg,osteosarcoma,0.1005859375,1.0,0.1005859375,1.0,15,15,1.0,12,0,1.0,0.06018698870276588,0.8971786834178124,0.8971786834178124,0.4393377106138541,0.45784097280395825,0.0,0.45784097280395825,0.4395886890260513,0.28171334444779184,0.0002509784121971781
IMG000034.jpeg,osteosarcoma,0.08307291666666666,1.0,0.08307291666666666,0.6521739130434783,23,15,1.0,22,0,1.0,0.04743847126180385,0.6657880865403827,0.6657880865403827,0.3565022422426426,0.3092858442977401,0.0,0.3092858442977401,0.3606464418258227,0.21999308211345675,0.004144199583180075
IMG000048.jpeg,osteosarcoma,0.0,0.0,0.0,0.0,27,0,1.0,19,0,0.0,0.0,0.0737628384914796,3.9888312708460985e-10,6.357683259815774e-11,0.07376283842790277,0.07376283809259648,3.353062944864521e-10,6.357683259815774e-11,6.357683259815774e-11,0.0
IMG000049.jpeg,osteosarcoma,0.0,0.0,0.0,0.0,35,0,1.0,28,0,0.0,0.0,0.06086651172916297,5.216484087002355e-10,4.1841004166593723e-10,0.06086651131075293,0.06086651120751456,1.0323836703429826e-10,4.1841004166593723e-10,4.1841004166593723e-10,0.0
IMG000050.jpeg,osteosarcoma,0.5340790541323751,0.8295076064452246,0.5999348958333334,0.46875,32,15,0.5909090909090908,22,9,0.9362678908992709,0.4481644260599793,0.84521633151304,0.8415317399207642,0.7990357221214536,0.046180609391586414,0.0036845915922757433,0.04249601779931067,0.7998066614025922,0.6663981841058506,0.0007709392811385829
IMG000055.jpeg,osteosarcoma,0.18092447916666668,1.0,0.18092447916666668,0.7142857142857143,21,15,1.0,24,0,1.0,0.10252342654762783,0.7351668295776677,0.7351668295776677,0.504279730513178,0.23088709906448968,0.0,0.23088709906448968,0.5053380783369524,0.33809523817605674,0.0010583478237744526
